,Tweet Date,text,Twitter Handle
107,"10,14,2021 7:36",Finally taking in Sex Education Season 3.,RiFingal
108,"10,14,2021 5:39","How Sex Education gave significant screen time and great character arcs for the non-leads in the series, just amazing. I absolutely love love season 3.",nyawiiraa
109,"10,14,2021 5:32","Netflix renewed YOU for the fourth season ahead of its season 3 premiere. Netflix also renewed Sex/Life and Sex Education for the second and fourth seasons respectively. 

Check this link for the fate of every TV Show in 2021 (So Far). https://t.co/hvdv3Y1fVM",melvinnasasira
110,"10,14,2021 5:03","Just watched season 3 of Sex Education, saw a bit of racial profiling right at the beginning! The new head teacher assumed Adam, not Jackson, was the head boy! #honr203b @tavisjules",FlashyFlood
111,"10,14,2021 4:07",Why nobody told me Sex Education was fire like this? Lol I’m gonna be sad when I finish season 3.,FaithIsAVirtue
112,"10,14,2021 3:37",Not me sobbing at sex education season 3 finale for the 10th time,queen__bay
113,"10,14,2021 2:38",Loveddd Episode 6 from Season 3 of Sex Education 😍😍😍,Urban_Beautee
114,"10,14,2021 2:25",Watching Season 3 of Sex Education and hearing Fuck the Pain Away by Peaches being sung by the glee club had me absolutely howling. This show is a gem.,jasnwilsn
115,"10,14,2021 2:18",watching the season 3 finale of sex education and hannah waddingham finally showed up i knew there was a reason to live,hadyoubigtime
116,"10,14,2021 2:08",Whoever was the Nigerian consultant for Season 3 of Sex Education is SPOT ON. Whew!,cagbi2000
117,"10,14,2021 2:07",Well ok then season 3 of Sex Education starting off strong ❤️,dia_dailyyy
118,"10,14,2021 2:06",that season 3 finale to Sex Education has me currently https://t.co/1ssc2kiTHV,casualkief
119,"10,14,2021 2:05",i’ve already almost finished season 3 of sex education??? i just started rewatching the first two seasons on like monday wtf,harrysinwonder
120,"10,14,2021 1:37",Sex education season 3 episode 3 — I want my whole life to feel like the bowling date scene,emilyjhopk
121,"10,14,2021 1:31",Sex Education Season 3 Episode 1 was so lit🔥,yoyenzz
122,"10,14,2021 1:31",mother fucker season 3 of sex education came out A MONTH AGO and I didn’t even know 😡😡😡😡,deannabarahona
123,"10,14,2021 1:26",Sex Education season 3 Adam is my favorite character on the planet.,dednagetawaycar
124,"10,14,2021 1:24",ON EPISODE 4 SEASON 3 OF SEX EDUCATION DYYYING OVER MAEVE AND ISAAC,ripscandal
125,"10,14,2021 1:15",almost finished with season 3 of sex education im so sad,BLOOMBLOOMLUVR
126,"10,14,2021 1:09",I finished Sex Education season 3!!! Help!!!,Yelluted
127,"10,14,2021 0:32","sex education season 3 spoilers 
-
-
-
-
-
WHY ARE OTIS AND RUBY KINDA CUTE TOGETHER......",wastelandbaybe
128,"10,14,2021 0:22",Sex Education season 3 is just wrecking me,CHIL0HOe
129,"10,14,2021 0:20",Finally watching season 3 of Sex Education and don’t get me wrong it’s great but at this point there’s only two characters I care about https://t.co/JUSCJ7KjNM,Casandra_Dee
130,"10,14,2021 0:15",Finally started watching season 3 of sex education,simonetenee_
131,"10,14,2021 0:13","@JuIia_Caesar Its great, but MAID was so good i stopped mid way thru season 3 of sex education to binge it lmao",justinmarcos
132,"10,14,2021 0:09",Just finished the season 3 of Sex Education and it was great as expected!,Shin_Baka
133,"10,13,2021 23:38",sex education season 3 https://t.co/G8TYg9dnDm,nikeskimask
134,"10,13,2021 21:52",Any mutuals watch Sex Education on Netflix? If so what did you think of Season 3?,f1_jeb
135,"10,13,2021 21:28","sex education season 3 ,,, hope ,,,, i’m gonna ruin this fucking lady gets on my nerves piece of fucking trash",vixxprint
136,"10,13,2021 21:14",Gave season 1 of Sex Education a chance last week and just finished season 3 already! Better than I thought it would be!,_JackAvfc
137,"10,13,2021 21:11",ok im FINALLY watch sex education season 3,boguslamewhack
138,"10,13,2021 20:54",Sex Education season 3 was mainly fun viewing and always good for a giggle especially after all the Squid Game gore and violence 😂,JYakula
139,"10,13,2021 20:42",wallahi sex education really stopped using ruby after like 3 or 4 episodes in season 3 😭😭😭,Relevancy_Fresh
140,"10,13,2021 20:40",@NetflixUK Where was this news for sex education a couple of days before season 3?,jamesburns_1997
141,"10,13,2021 20:24","finished sex education, season 3 was kinda weird tbh",Relevancy_Fresh
142,"10,13,2021 20:23",@abdulajmi @mimikeenegifs @mafahamt She's in sex education especially season 3,DSATWODD
143,"10,13,2021 20:15","@sisterpenguin @pineylonesome @meadowcomber Sex Education season 3 and The Good Place season 4 are also on Netflix now, thankfully. The world is dark enough without darkness seeping out of a box in the living room.. 😑",MeanieMary
144,"10,13,2021 19:31","I’m officially up to date on Sex Education and I’m sad I have to wait for the next season…

I may have watched the first 3 seasons in a week and a half",JulieDwoskin
145,"10,13,2021 19:19","sex education, stranger things, and probably You as well. they should've ended at season 3 also, it's become somewhat of a trend to give a show an ok 1st season, a really good 2nd season, a meh 3rd season and a..... strange 4th season",odz666
146,"10,13,2021 19:08",I know it’s the point of the character but holy crap the principal on season 3 of Sex Education  pisses me off,sindorman
